Name,Typedef,,,,
Author,Kevin Weiss,,,,
Revision,1.00.00d,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Class Name,total size,type,name,array size,description
,,,,,
timestamp_t,8,,,,
,,uint8,second,,The seconds in decimal
,,uint8,minute,,The minutes in decimal
,,uint8,hour,,The hours in decimal
,,uint8,day_of_month,,The day of the month in decimal
,,uint8,day_of_week,,The day of the week in decimal (0 = Sunday   1 = Monday   ect.)
,,uint8,month,,The month in decimal
,,uint8,year,,The last two digits of the year in decimal (20xx)
,,,,,
sys_t,32,,,,
,,uint8,sn,12,Device UID
,,uint32,fw_rev,,Firmware revision
,,timestamp_t,build_time,,time of build
,,uint32,device_num,,A constant number that should always be the same
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
i2c_t,16,,,,
,,uint8,mode,,
,,uint16,error_code,,
,,uint16,clk_stretch_delay,,
,,uint8,inject_failure_mode,,
,,uint16,slave_addr_1,,
,,uint16,slave_addr_2,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
spi_t,8,,,,
,,uint8,mode,,
,,uint32,error_code,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
uart_t,8,,,,
,,uint8,mode,,
,,uint16,error_code,,
,,uint32,baud,,
,,uint8,reg_output,,
,,uint8,size,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
adc_t,8,,,,
,,uint8,mode,,
,,uint16,error_code,,
,,uint8,sample_rate,,
,,uint32,value,,
,,,,,
,,,,,
,,,,,
pwm_t,8,,,,
,,uint8,mode,,
,,uint16,error_code,,
,,uint8,duty,,
,,uint32,freq,,
,,,,,
tmr_t,16,,,,
,,uint8,mode,,
,,uint16,error_code,,
,,uint8,duty,,
,,uint32,freq,,
,,uint32,hi_us,,
,,uint32,lo_us,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
map_t,256,,,,
,,sys_t,sys,,
,,i2c_t,i2c,,
,,spi_t,spi,,
,,uart_t,uart,,
,,timestamp_t,rtc,,
,,adc_t,adc,2,
,,pwm_t,pwm,,
,,tmr_t,tmr,,
